post_id,target_username,account_role,benchmark_weight,author_username,created_at_jst,post_date_jst,tweet_url,text
2035298180523528690,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-21 19:11:14,2026-03-21,https://x.com/ShitStockQ/status/2035298180523528690,"何も思わずに乗り込む
なぜなら当然の対価を払ってるから

わいっておかしいのかな？ https://t.co/ZCCJAiOl4d"
2035328957059657863,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-21 21:13:32,2026-03-21,https://x.com/ShitStockQ/status/2035328957059657863,だっさ https://t.co/bVbrZBVAEX
2035343908155388405,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-21 22:12:57,2026-03-21,https://x.com/ShitStockQ/status/2035343908155388405,"イラン、ホルムズ海峡の日本船舶の航行を許可する用意があると表明

イランでは一休さんが国民的アニメです。もしかしたらとんちを利かせたのかもしれません。 https://t.co/uf1F5Ly726 https://t.co/HsFdyjIl7C"
2035349852549476400,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-21 22:36:34,2026-03-21,https://x.com/ShitStockQ/status/2035349852549476400,F1ドライバーの車両感覚すごすぎ https://t.co/4RPIflG1jj
2035362591317643434,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-21 23:27:11,2026-03-21,https://x.com/ShitStockQ/status/2035362591317643434,"投資って自分が行けると思った会社にお金を突っ込むことだから、値動きで文句言う感覚が私には理解できない。

Xのインフルエンサーは値動きしか見てない人が多すぎるんよね。

その点シットさんはずーっと同じ銘柄推してる。
勿論、高くなりすぎたり、自分の思いと違うことが起きたら売るけどね。"
2035507175414796655,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-22 09:01:43,2026-03-22,https://x.com/ShitStockQ/status/2035507175414796655,"なんかあったな
サンデーダウ急落"
2035508188133650866,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-22 09:05:44,2026-03-22,https://x.com/ShitStockQ/status/2035508188133650866,これか https://t.co/nR7QWzHvlT
2035510017840066596,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-22 09:13:00,2026-03-22,https://x.com/ShitStockQ/status/2035510017840066596,"原油はマイニングコストに跳ね返るからね
データセンターの再エネ化は進んでるけど少なからず影響あります https://t.co/rhqg6O6aR0"
2035510892423733503,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-22 09:16:29,2026-03-22,https://x.com/ShitStockQ/status/2035510892423733503,初心者弁護士ってことか https://t.co/yYk6FcNHfG
2035675916299608107,ShitStockQ,candidate,1.0000,ShitStockQ,2026-03-22 20:12:14,2026-03-22,https://x.com/ShitStockQ/status/2035675916299608107,ホンダっていつからバイクのエンジン水冷になったんですか？ https://t.co/VPalKX87LQ
