post_id,target_username,author_username,created_at_jst,post_date_jst,tweet_url,text
2038995301328199710,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 00:02:17,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2038995301328199710,"結局は、ホルムズ開通しないと原油が下落しにくく、原油が下がらないとトランプが一番気になる債券金利が下がらない
メンヘラのフラフラした発言は、うまく行かず孤立する姿を写し出す https://t.co/hzsFtQD8PZ"
2039061079771451539,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 04:23:39,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039061079771451539,【速報】中国、パキスタンがイラン戦争終了の案を提示 https://t.co/V6visp4h4Q @ZAiFXから
2039061160948019536,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 04:23:59,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039061160948019536,【速報】ペゼシュキヤーン・イラン大統領「戦争終了の用意、保証を模索」＝IRNA https://t.co/PcsTsOQ1Lz @ZAiFXから
2039090641788178839,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 06:21:08,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039090641788178839,"おはきゃあきゃあございます😊

ダウ1125高
日経先物1859高
ナス795高
SOX445高
米国債4.318
原油101.56
金4699
全面高、イランからも終戦に向けた動きが始まる
ノイズの多い情報やメンヘラなトランプ発言の裏側で戦争終結に向け動き出していた
イスラエルの邪魔が入らないように
まだわからんが https://t.co/VEwzBeLchA"
2039131323227623762,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:02:47,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039131323227623762,https://t.co/jLUh5SkJco https://t.co/PSezUbk7E3
2039132265469620389,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:06:31,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039132265469620389,"前原誠司次期国民民主党党首選挙減って、維新抜けて国民民主党潰しですか？
＃エイプリルフールやないやろな https://t.co/nMVm3XO2O3"
2039134541764546815,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:15:34,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039134541764546815,今さらジロー https://t.co/DmFdxcxll5
2039135007672017293,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:17:25,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039135007672017293,"テラドローン

WBS効果 https://t.co/wRXjyDUlvn"
2039135145857634350,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:17:58,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039135145857634350,でますよ https://t.co/Ui5gZCUyJY
2039138223998574613,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:30:12,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039138223998574613,"ライフドリンコいけいけ

アイリスオーヤマ買い https://t.co/OD8MWobhc9"
2039142725837316099,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 09:48:05,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039142725837316099,パワーエックスザラバ30号すとぽ https://t.co/sMz33yvCtv
2039145935926919393,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:00:51,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039145935926919393,"ライフドリンク

アイリスオーヤマが7.7%まで市場買い付け、アイリスオーヤマはミネラルウォーターなど飲料事業があり
拡大するために資本関係をつくるんか？
とすれば、買収は知らんが少なくとも持分20%以上にして、役員送るんかな https://t.co/Eao0Dfvr2B"
2039146332620050530,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:02:25,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039146332620050530,"ぱわてぅざぴぽーらいおん

byジョンレノン https://t.co/RC00vJOG2Y"
2039152194528969214,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:25:43,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039152194528969214,ライフドリンク https://t.co/WlVjMKs6U3
2039157367066316917,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:46:16,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039157367066316917,"ワイが山一の本店赴任した時にソフトバンク上場したんやけど
その後ユニクロが広証から東証2部へ出てきて
相場の悪い中、疑心暗鬼の中、時代の銘柄として育った時に似てるよなぁ https://t.co/gUw4KH5zo2"
2039157963374616793,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:48:38,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039157963374616793,ライフドリンクうまうま https://t.co/h5bfh24MMY
2039158412425167097,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:50:25,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039158412425167097,お千代さん https://t.co/sThnuSmfKR
2039158565760622737,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:51:02,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039158565760622737,パワーエックス---大幅に反発、エネルギー関連事業者から大型定置用蓄電システムなど53億円の大口受注 https://t.co/MZlOZ3A8Ea
2039158600594268645,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 10:51:10,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039158600594268645,ライフドリンク－大幅に4日続伸　アイリスオーヤマの保有割合増加　6.15％→7.70％ https://t.co/jjsardn2Uc
2039161465928843485,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:02:33,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039161465928843485,脂がのってシュワシュワ https://t.co/NwSyLCnjTn
2039162019224650169,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:04:45,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039162019224650169,ライフドリンクぐんぐん https://t.co/Xlbjoe2rbx
2039162421903044761,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:06:21,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039162421903044761,汗かいてベトベト https://t.co/TEVubV7dTJ
2039163966698704915,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:12:30,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039163966698704915,ライフドリンク1400突破 https://t.co/BRsHZy0ltv
2039170194342555843,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:37:14,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039170194342555843,ほんまか？ https://t.co/QNmzXgXODs https://t.co/atDcr5uj4E
2039171058159514111,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:40:40,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039171058159514111,明日、トランプが勝利宣言するための燃料投下 https://t.co/PVuLYMdeZS
2039171932185301119,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:44:09,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039171932185301119,ダイダロスアタックしてくだちい https://t.co/f4YVQlgpAO
2039172437557072203,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 11:46:09,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039172437557072203,たびたい https://t.co/o4mpsCSJ4h
2039177153556922566,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:04:54,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039177153556922566,"なぜ、マクロンさま ごめんね
なんだろう？ https://t.co/fP6xZDwQmx"
2039179093779062858,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:12:36,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039179093779062858,この意味か？ https://t.co/O4rxreDyG8 https://t.co/aOzXctjvKu
2039181330739786059,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:21:30,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039181330739786059,"ライフドリンク

上場時の株主構成と現在
上場時をヒントに紐解くと
今の第1、第2株主は香港CSLAファンドか？田中名字の株主は、創業家一族であり、役員には名前ない
このあたりの株を引き継ぐのがアイリスオーヤマの狙いか？
ベンチャーキャピタルと創業家
どちらもEXIT狙ってるかもね
面白いやん https://t.co/A0Es2lU9A7"
2039181771145982175,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:23:15,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039181771145982175,それともこちらの皮肉？ https://t.co/J6YzZCHLCm
2039183101239402984,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:28:32,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039183101239402984,ぽっちゃり福くん https://t.co/NcciVJqio2
2039184820723683685,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 12:35:22,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039184820723683685,大当たり https://t.co/wgwI618ZlA
2039195005290782879,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 13:15:50,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039195005290782879,課長の性癖💦 https://t.co/uNOuBPUnWO
2039201487222681643,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 13:41:35,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039201487222681643,"この人胡散臭すぎて、全部がヤラセにしか思えない
前回の電気事業も看板だけ臭いし
以前8月5日の急落で資金繰り悪くなって小さなマンションに住んだ話も全部茶番だし、胡散臭い銘柄の株主に名を出したり、既に売っていたり
騙◯てるだけにしか見えないから
これもパフォにしか見えない https://t.co/UDpsmmGNPb"
2039204925004239122,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 13:55:15,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039204925004239122,ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!ネタニヤフのネタ？ https://t.co/jLpZFdfySH
2039210701433221570,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 14:18:12,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039210701433221570,相場で往復ビンタくらう奴 https://t.co/a3Fh1dCTnM
2039213308117741976,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 14:28:34,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039213308117741976,ライフドリンクストポ来ますか？ https://t.co/EX26tkWbMn
2039222102402945185,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 15:03:30,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039222102402945185,"これで明日トランプ発言で日経先物2500下がって往って来いなら
ほんまのエイプリルフールになるな
＃笑えない https://t.co/cpx9Hgfack"
2039226407637889229,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 15:20:37,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039226407637889229,"何かに追われてる夢みませんか？
そっと振り返ってください
そこには全力らいとにんぐが…

＃はぇ〜よっ https://t.co/9dVKcpcwLM"
2039228669349306769,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 15:29:36,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039228669349306769,やおいの集い https://t.co/RU7r6KWhQy
2039229790990061930,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 15:34:03,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039229790990061930,"おつおつおつおつやっとおつ 

日経先物2660高
為替158.4
ダウ先ナス先200くらい上昇
原油99.21
金4735
米国債日本国債金利下落
トランプネタニヤフほんまやな？
頼むでしかし！
ライフドリンクと千代田を買いました
細かいのをだいぶ売却
明日のトランプは、勝手に勝利宣言？かな？まさか… https://t.co/1oTlZieDID"
2039248992434106490,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 16:50:21,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039248992434106490,"どーん

【NY WTI原油先物】97.07 ▼4.25% -4.31 [16:49]
https://t.co/zFkL38TOUa

  https://t.co/yYYbQzCRpE"
2039249188605854130,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 16:51:08,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039249188605854130,"どーんどーん
【日本国債 10年 利回り】2.299 ▼2.34% -0.055 [16:48]
https://t.co/zFkL38TOUa

  https://t.co/0Ux3hGV4xC"
2039249854380278030,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 16:53:47,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039249854380278030,ライフドリンクお買い上げ更に https://t.co/HAVFvF9QfW
2039252729235943682,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 17:05:12,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039252729235943682,はぁ大漁！大漁！ https://t.co/eOOkG4vSk0
2039252973503811713,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 17:06:11,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039252973503811713,変なの出てきた https://t.co/NGSLCufQiy
2039338807531884989,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 22:47:15,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039338807531884989,【トランプ米大統領】ホルムズ海峡の航行再開すれば、停戦を検討する https://t.co/SJFH84SyU2 @ZAiFXから
2039338846354317451,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 22:47:24,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039338846354317451,【トランプ米大統領】 イラン大統領は停戦を望んでいる https://t.co/IBVzo4mVOg @ZAiFXから
2039346847777689638,7Y8k3d17SozCE0w,7Y8k3d17SozCE0w,2026-04-01 23:19:12,2026-04-01,https://x.com/7Y8k3d17SozCE0w/status/2039346847777689638,千代田化工建設－6日ぶりに大幅反発　米国Golden Pass LNG第1系列の建設・試運転を完了 https://t.co/rn2a71made
